code,time_sch,dest,time_act,commercial,orig
LD 209,01:30,HKG,At gate 01:35,0,Tokyo/NRT
TW 117,01:30,HKG,At gate 01:45,1,Seoul/ICN
TH 3507,01:30,HKG,At gate 01:29,0,Subang
7C 2108,01:30,Seoul/ICN,Dep 01:45,1,HKG
MM 068,01:35,Osaka/Kansai,Dep 01:46,1,HKG
CX 566,01:50,Osaka/Kansai,Dep 01:50,1,HKG
BR 6521,01:50,HKG,At gate 14:25,0,Taipei
HX 707,01:55,Denpasar,Dep 01:58,1,HKG
PO 8199,02:00,HKG,At gate 11:37,0,"Los Angeles
Seoul/ICN"
HX 285,02:00,HKG,At gate 02:05,1,Taipei
KE 180,02:05,Seoul/ICN,Dep 02:02,1,HKG
3S 590,02:15,HKG,At gate 02:24,0,"Leipzig
Tokyo/NRT"
HX 606,02:20,Tokyo/NRT,Dep 02:15,1,HKG
7C 2186,02:25,Jeju,Dep 02:20,1,HKG
TW 118,02:30,Seoul/ICN,Dep 02:45,1,HKG
MS 509,02:30,HKG,At gate 02:16,0,Cairo
HX 637,02:35,HKG,At gate 02:20,1,Osaka/Kansai
UO 676,02:40,Jeju,Dep 02:30,1,HKG
NH 8512,02:40,Tokyo/NRT,Dep 02:32,0,HKG
KZ 202,02:45,Tokyo/NRT,Dep 02:29,0,HKG
HX 602,02:50,Osaka/Kansai,Dep 02:44,1,HKG
3S 506,02:50,HKG,At gate 01:52,0,"Frankfurt
Tashkent"
ES 727,02:55,HKG,At gate 04:07,0,Bahrain
RH 962,02:55,Osaka/Kansai,Dep 08:20,0,HKG
QY 546,02:55,HKG,At gate 02:30,0,"Leipzig
Delhi"
CI 5836,03:00,Taipei,Dep 06:41,0,HKG
QR 8058,03:15,HKG,At gate 03:55,0,"Doha
Almaty"
LD 768,03:20,Beijing/PEK,Dep 03:58,0,HKG
KE 314,03:20,Seoul/ICN,Dep 03:12,0,HKG
CX 844,03:20,New York/JFK,Dep 03:55,1,HKG
LD 327,03:20,Singapore,Dep 04:26,0,HKG
LD 128,03:25,Seoul/ICN,Dep 03:40,0,HKG
LD 720,03:25,Chengdu,Dep 03:41,0,HKG
LD 204,03:30,Osaka/Kansai,Dep 03:35,0,HKG
8K 526,03:30,Bangkok,Dep 03:32,0,HKG
LD 457,03:40,"Manila
Cebu",Dep 04:07,0,HKG
LD 831,03:40,Bangkok,Dep 04:03,0,HKG
LD 208,03:45,Tokyo/NRT,Dep 04:14,0,HKG
LD 561,03:45,Ho Chi Minh,Dep 03:50,0,HKG
TH 3508,03:45,Subang,Dep 04:07,0,HKG
LD 216,03:45,Nagoya,Dep 04:16,0,HKG
LD 782,03:50,Shanghai/PVG,Dep 04:02,0,HKG
BR 6522,03:50,Taipei,Dep 15:57,0,HKG
ES 745,03:55,HKG,At gate 03:59,0,"Bahrain
Bangkok"
CX 2071,03:55,HKG,At gate 07:54,0,"Houston
Anchorage"
PO 916,04:00,"Seoul/ICN
Los Angeles",Dep 04:32,0,HKG
LD 391,04:00,Penang,Dep 04:19,0,HKG
EK 9820,04:05,HKG,At gate 04:22,0,"Dubai/DWC
Sydney"
UO 623,04:10,HKG,At gate 04:11,1,Tokyo/HND
3S 539,04:20,"Singapore
Leipzig",Dep 04:38,0,HKG
LD 680,04:20,Taipei,Dep 04:33,0,HKG
UO 765,04:20,HKG,At gate 04:07,1,Phuket
LD 721,04:25,HKG,At gate 04:23,0,Chengdu
CX 138,04:25,HKG,At gate 04:15,1,Sydney
ES 738,04:25,"Bengaluru
Bahrain",Dep 05:31,0,HKG
3S 522,04:30,HKG,At gate 04:30,0,"Leipzig
Bahrain"
FX 5217,04:30,HKG,At gate 04:33,0,Osaka/Kansai
MS 510,04:30,Bangkok,Dep 04:27,0,HKG
RH 4569,04:30,HKG,At gate 11:53,0,Taipei
D0 036,04:45,HKG,At gate 05:51,0,"East Midlands
Almaty"
K4 612,04:50,HKG,At gate 01:28 (20/12/2023),0,"Cincinnati
Seoul/ICN"
CX 3265,04:50,HKG,At gate 05:01,0,Chongqing
K4 250,05:00,HKG,At gate 11:45,0,"New York/JFK
Anchorage
Seoul/ICN"
CX 086,05:00,"Anchorage
Felipe Angeles",Dep 14:26,0,HKG
QR 8059,05:05,Doha,Dep 05:26,0,HKG
CX 811,05:10,HKG,At gate 04:52,1,Boston
HB 232,05:10,HKG,At gate 05:07,1,Manila
RH 354,05:10,HKG,At gate 05:24,0,Manila
5Y 4605,05:10,HKG,At gate 05:14,0,Los Angeles
CX 714,05:20,HKG,At gate 05:23,1,Singapore
CX 829,05:25,HKG,At gate 04:51,1,Toronto
AC 021,05:30,HKG,At gate 05:14,1,Vancouver
ES 724,05:35,Bahrain,Dep 05:38,0,HKG
D0 513,05:35,"Dubai
Leipzig
East Midlands",Dep 08:13,0,HKG
PO 9693,05:50,HKG,At gate 22:54,0,"Los Angeles
Seoul/ICN"
HX 780,05:55,HKG,At gate 06:01,1,Bangkok
UK 101,05:55,HKG,At gate 05:31,1,Delhi
UO 629,05:55,HKG,At gate 06:24,1,Tokyo/HND
QY 547,06:00,"Almaty
Cologne",Dep 06:11,0,HKG
CX 796,06:00,HKG,At gate 05:53,1,Jakarta
CX 044,06:05,HKG,At gate 06:34,0,Mumbai
CX 873,06:15,HKG,At gate 06:04,1,San Francisco
CX 698,06:15,HKG,At gate 06:05,1,Delhi
RH 352,06:20,HKG,At gate 07:01,0,Manila
RH 331,06:25,Bangkok,Dep 09:48,0,HKG
3S 522,06:30,"Tokyo/NRT
Cincinnati",Dep 06:06,0,HKG
CX 234,06:30,HKG,At gate 05:57,1,Milan/MXP
EK 9821,06:30,Dubai/DWC,Dep 06:36,0,HKG
CX 843,06:35,HKG,At gate 06:13,1,New York/JFK
O3 6925,06:40,HKG,At gate 06:58,0,Ningbo
CX 865,06:45,HKG,At gate 06:34,1,Vancouver
UA 877,06:45,HKG,At gate 06:10,1,San Francisco
3S 593,06:45,"Delhi
Leipzig",Dep 07:02,0,HKG
CX 288,06:50,HKG,At gate 06:43,1,Frankfurt
CX 3258,06:50,Shanghai/PVG,Dep 10:07,0,HKG
CX 178,06:55,HKG,At gate 06:54,1,Melbourne
CC 4200,07:00,"Dubai/DWC
London/LHR",Dep 08:45,0,HKG
CX 216,07:00,HKG,At gate 06:38,1,Manchester
K4 613,07:00,"Anchorage
New York/JFK",Dep 13:30,0,HKG
K4 251,07:00,"Anchorage
Miami",Dep 07:23 (20/12/2023),0,HKG
D0 035,07:00,"Almaty
Leipzig
East Midlands",Dep 07:14,0,HKG
CX 260,07:00,HKG,At gate 07:11,1,Paris
K4 281,07:00,HKG,At gate 06:52,0,"Cincinnati
Milan/MXP"
FX 5217,07:05,"Liege
Memphis",Dep 06:59,0,HKG
HX 762,07:05,HKG,At gate 06:48,1,Bangkok
UO 618,07:10,Seoul/ICN,Dep 07:11,1,HKG
CX 881,07:20,HKG,At gate 07:02,1,Los Angeles
HX 682,07:25,Okinawa,Dep 07:21,1,HKG
GG 9521,07:30,HKG,At gate 20:45,0,Anchorage
K4 716,07:30,HKG,At gate 14:21,0,"Ontario
Anchorage"
CX 366,07:30,Shanghai/PVG,Dep 07:36,1,HKG
CX 156,07:30,HKG,At gate 07:03,1,Brisbane
CX 907,07:30,Manila,Dep 07:45,1,HKG
UO 820,07:35,Okinawa,Dep 07:30,1,HKG
CX 270,07:35,HKG,At gate 07:57,1,Amsterdam
UO 550,07:35,Hanoi,Dep 07:49,1,HKG
UO 724,07:35,Phuket,Dep 07:33,1,HKG
RH 357,07:40,HKG,At gate 08:09,0,Dubai/DWC
CX 252,07:40,HKG,At gate 07:05,1,London/LHR
MU 726,07:40,Shanghai/PVG,Dep 07:55,1,HKG
UO 600,07:45,Fukuoka,Dep 07:40,1,HKG
CX 691,07:50,Singapore,Dep 07:58,1,HKG
CX 982,07:55,Guangzhou,Dep 08:07,1,HKG
HX 452,07:55,Chengdu Tianfu,Dep 07:56,1,HKG
O3 6926,07:55,Ningbo,Dep 07:46,0,HKG
UO 130,08:00,Kaohsiung,Dep 07:56,1,HKG
5X 067,08:00,HKG,At gate 08:46,0,"Louisville
Anchorage
Ho Chi Minh"
CX 488,08:00,Taipei,Dep 09:04,1,HKG
CX 976,08:05,HKG,At gate 08:27,1,Manila
CX 3195,08:10,HKG,At gate 18:13,0,"New York/JFK
Toronto
Anchorage"
CX 596,08:10,Osaka/Kansai,Dep 08:07,1,HKG
CX 2099,08:10,HKG,At gate 10:27,0,"Chicago
Anchorage"
CX 526,08:10,Tokyo/NRT,Dep 08:22,1,HKG
5J 272,08:10,HKG,At gate 08:22,1,Manila
CI 922,08:10,Taipei,Dep 08:09,1,HKG
HB 340,08:15,Osaka/Kansai,Dep 08:19,1,HKG
EK 9880,08:15,HKG,At gate 08:12,0,Dubai/DWC
5Y 824,08:15,HKG,At gate 08:11 (20/12/2023),0,"Miami
Anchorage"
CX 2079,08:15,Riyadh,Dep 08:45,0,HKG
CX 921,08:20,Cebu,Dep 08:22,1,HKG
UO 846,08:25,Kagoshima,Dep 08:31,1,HKG
CX 767,08:25,Ho Chi Minh,Dep 08:28,1,HKG
CX 257,08:25,London/LHR,Dep 08:25,1,HKG
HB 760,08:25,Seoul/ICN,Dep 08:44,1,HKG
UO 552,08:25,Da Nang,Dep 08:34,1,HKG
CX 936,08:30,Wuhan,Dep 08:41,1,HKG
CX 705,08:30,Bangkok,Dep 08:37,1,HKG
CA 118,08:30,Beijing/PEK,Dep 08:23,1,HKG
CX 564,08:30,"Taipei
Osaka/Kansai",Dep 08:36,1,HKG
CX 607,08:35,Phnom Penh,Dep 08:49,1,HKG
CX 771,08:35,Phuket,Dep 08:42,1,HKG
HX 112,08:40,Hangzhou,Dep 08:45,1,HKG
CX 3251,08:40,HKG,At gate 08:45,0,Shanghai/PVG
CZ 5010,08:40,Beijing/PKX,Dep 08:40,1,HKG
EK 9882,08:40,HKG,At gate 08:40,0,Dubai/DWC
3S 582,08:45,HKG,At gate 09:10,0,"Leipzig
Seoul/ICN"
MH 079,08:45,Kuala Lumpur,Dep 08:54,1,HKG
CX 139,08:45,Sydney,Dep 08:46,1,HKG
CX 432,08:50,Kaohsiung,Dep 08:52,1,HKG
AK 8008,08:50,HKG,At gate 15:24,0,Kota Kinabalu
HX 664,08:50,Nagoya,Dep 08:59,1,HKG
BR 891,08:50,HKG,At gate 09:06,1,Taipei
UK 102,08:55,Delhi,Dep 08:53,1,HKG
CX 548,08:55,Tokyo/HND,Dep 08:53,1,HKG
5J 240,08:55,HKG,At gate 08:32,1,Cebu
HB 702,08:55,Taipei,Dep 09:02,1,HKG
UO 686,08:55,Osaka/Kansai,Dep 09:13,1,HKG
CX 759,09:00,Singapore,Dep 09:15,1,HKG
HX 236,09:00,Shanghai/PVG,Dep 09:07,1,HKG
CX 386,09:00,Beijing/PEK,Dep 09:02,1,HKG
CX 530,09:00,"Taipei
Nagoya",Dep 09:10,1,HKG
CX 901,09:00,Manila,Dep 09:14,1,HKG
HX 628,09:00,Seoul/ICN,Dep 09:15,1,HKG
PO 786,09:00,"Los Angeles
Miami",Dep 01:12 (20/12/2023),0,HKG
SQ 899,09:05,Singapore,Dep 09:16,1,HKG
CX 504,09:05,Tokyo/NRT,Dep 09:09,1,HKG
CI 601,09:05,HKG,At gate 09:32,1,Taipei
HX 252,09:05,Taipei,Dep 09:11,1,HKG
UO 674,09:05,Busan,Dep 09:18,1,HKG
UO 758,09:10,Bangkok,Dep 09:28,1,HKG
CX 694,09:10,HKG,At gate 09:21,1,Delhi
K4 285,09:10,Los Angeles,Dep 09:04,0,HKG
5Y 4738,09:10,"Anchorage
Chicago",Dep 09:13,0,HKG
CX 580,09:10,Sapporo,Dep 09:25,1,HKG
5J 150,09:15,HKG,At gate 08:46,1,Clark
HX 608,09:15,Tokyo/NRT,Dep 09:40,1,HKG
CX 777,09:20,Jakarta,Dep 09:26,1,HKG
CX 410,09:20,Seoul/ICN,Dep 09:48,1,HKG
HB 320,09:20,Tokyo/NRT,Dep 09:28,1,HKG
CI 933,09:20,HKG,At gate 09:15,1,Kaohsiung
5J 273,09:25,Manila,Dep 09:34,1,HKG
FD 515,09:30,HKG,At gate 09:21,1,Chiang Mai
CX 830,09:30,New York/JFK,Dep 09:28,1,HKG
UO 848,09:30,Tokyo/NRT,Dep 09:31,1,HKG
CX 660,09:35,HKG,At gate 10:02,1,Mumbai
CX 765,09:35,Hanoi,Dep 09:44,1,HKG
CX 624,09:35,HKG,At gate 09:17,1,Bengaluru
MU 724,09:35,Shanghai/PVG,Dep 09:34,1,HKG
CI 5825,09:40,HKG,At gate 09:44,0,Taipei
HX 308,09:40,Beijing/PKX,Dep 09:37,1,HKG
5J 241,09:40,Cebu,Dep 09:39,1,HKG
5J 110,09:45,HKG,At gate 09:42,1,Manila
CX 536,09:45,Nagoya,Dep 09:54,1,HKG
CX 368,09:45,Shanghai/PVG,Dep 09:52,1,HKG
FD 508,09:50,HKG,At gate 09:49,1,Bangkok/DMK
HX 741,09:50,Phuket,Dep 09:55,1,HKG
CI 903,09:55,HKG,At gate 10:31,1,Taipei
UO 680,09:55,Nagoya,Dep 10:05,1,HKG
CX 615,09:55,Bangkok,Dep 10:07,1,HKG
UO 850,09:55,Osaka/Kansai,Dep 09:52,1,HKG
5Y 8049,10:00,HKG,At gate 10:08,0,Seoul/ICN
GG 9520,10:00,Anchorage,Dep 10:57 (20/12/2023),0,HKG
CX 785,10:00,Denpasar,Dep 10:18,1,HKG
5J 149,10:00,Clark,Dep 09:56,1,HKG
CX 450,10:00,"Taipei
Tokyo/NRT",Dep 10:30,1,HKG
BR 892,10:00,Taipei,Dep 10:04,1,HKG
CX 348,10:00,Shanghai/SHA,Dep 10:15,1,HKG
CV 9521,10:05,HKG,At gate 12:22,0,"Luxembourg
Kuala Lumpur"
TR 978,10:05,HKG,At gate 09:48,1,Singapore
BR 851,10:05,HKG,At gate 10:47,1,Taipei
MB 620,10:05,"Turkmenabat
Istanbul",Dep 12:10,0,HKG
K4 717,10:05,"Seoul/ICN
Anchorage
Los Angeles",Dep 16:00,0,HKG
UO 677,10:10,HKG,At gate 10:00,1,Jeju
AK 8011,10:10,Kuala Lumpur,Dep 16:55,0,HKG
CX 828,10:10,Toronto,Dep 10:34,1,HKG
CX 954,10:10,Qingdao,Dep 10:25,1,HKG
HX 640,10:15,Fukuoka,Dep 10:17,1,HKG
HX 231,10:15,HKG,At gate 10:13,1,Shanghai/PVG
PR 300,10:15,HKG,At gate 10:31,1,Manila
EK 9881,10:15,Dubai/DWC,Dep 10:34,0,HKG
AC 022,10:15,Vancouver,Dep 10:14,1,HKG
CX 986,10:20,Chengdu Tianfu,Dep 10:32,1,HKG
CI 934,10:20,Kaohsiung,Dep 10:11,1,HKG
JL 736,10:20,Tokyo/NRT,Dep 10:28,1,HKG
HX 497,10:20,HKG,At gate 10:19,1,Chongqing
CI 602,10:20,Taipei,Dep 10:27,1,HKG
CX 494,10:25,Taipei,Dep 11:33,1,HKG
CX 584,10:25,Sapporo,Dep 10:40,1,HKG
CX 407,10:25,HKG,At gate 10:16,1,Taipei
CX 723,10:25,Kuala Lumpur,Dep 10:40,1,HKG
CX 356,10:25,Nanjing,Dep 10:38,1,HKG
AK 2281,10:30,HKG,At gate 10:20,1,Penang
FD 516,10:30,Chiang Mai,Dep 10:41,1,HKG
CX 520,10:30,Tokyo/NRT,Dep 10:57,1,HKG
MU 765,10:30,HKG,At gate 10:16,1,Nanjing
CX 912,10:30,HKG,At gate 10:39,1,Manila
MF 8715,10:35,HKG,At gate 10:26,1,Quanzhou
HX 129,10:35,HKG,At gate 10:29,1,Hangzhou
CX 014,10:35,HKG,At gate 10:58,0,"Frankfurt
Milan/MXP"
HO 1649,10:40,HKG,At gate 10:35,1,Nanjing
CX 738,10:45,HKG,At gate 10:48,1,Dubai
3S 582,10:45,Cincinnati,Dep 11:04,0,HKG
CX 506,10:45,Osaka/Kansai,Dep 10:51,1,HKG
FD 509,10:45,Bangkok/DMK,Dep 10:45,1,HKG
CX 424,10:45,Kaohsiung,Dep 10:49,1,HKG
UO 870,10:50,Tokyo/NRT,Dep 10:51,1,HKG
UO 172,10:50,Taichung,Dep 11:03,1,HKG
HX 221,10:50,HKG,At gate 10:47,1,Nanjing
MU 721,10:50,HKG,At gate 10:55,1,Shanghai/SHA
UO 625,10:50,HKG,At gate 10:38,1,Tokyo/HND
Z2 1264,10:55,HKG,At gate 13:42,1,Manila
CX 917,11:00,HKG,At gate 10:28,1,Chengdu Tianfu
UO 668,11:00,Fukuoka,Dep 11:14,1,HKG
5J 111,11:00,Manila,Dep 11:04,1,HKG
UA 862,11:00,San Francisco,Dep 10:54,1,HKG
RW 660,11:05,HKG,At gate 11:10,1,Clark
CI 904,11:05,Taipei,Dep 11:27,1,HKG
CX 946,11:05,Xian,Dep 11:07,1,HKG
EK 9883,11:10,Dubai/DWC,Dep 11:15,0,HKG
TR 979,11:10,Singapore,Dep 11:21,1,HKG
CX 588,11:10,Fukuoka,Dep 11:12,1,HKG
AK 2280,11:15,Penang,Dep 11:08,1,HKG
CX 345,11:15,HKG,At gate 10:59,1,Beijing/PEK
BR 852,11:15,Taipei,Dep 11:42,1,HKG
AK 138,11:15,HKG,At gate 11:21,1,Kuala Lumpur
KE 171,11:20,HKG,At gate 11:24,1,Seoul/ICN
MU 2685,11:20,HKG,At gate 11:05,1,Wuxi
5X 003,11:20,"Dubai
Cologne
Philadelphia",Dep 11:10,0,HKG
MF 8655,11:20,HKG,At gate 11:35,1,Hangzhou
MF 381,11:20,HKG,At gate 10:55,1,Xiamen
SQ 874,11:20,HKG,At gate 11:16,1,Singapore
OM 297,11:25,HKG,At gate 11:22,1,Ulaan Baatar
CX 361,11:25,HKG,At gate 12:43,1,Shanghai/PVG
5Y 8051,11:25,HKG,At gate 15:16,0,"Miami
Anchorage"
CX 983,11:25,HKG,At gate 11:55,1,Guangzhou
TW 115,11:25,HKG,At gate 11:52,1,Seoul/ICN
PR 301,11:30,Manila,Dep 11:39,1,HKG
HX 658,11:30,Okinawa,Dep 11:45,1,HKG
MU 501,11:30,HKG,At gate 11:20,1,Shanghai/PVG
HX 592,11:30,Hakodate,Dep 11:39,1,HKG
UO 227,11:30,HKG,At gate 11:19,1,Ningbo
MU 766,11:35,Nanjing,Dep 11:27,1,HKG
HX 618,11:35,Osaka/Kansai,Dep 11:37,1,HKG
UO 131,11:35,HKG,At gate 11:35,1,Kaohsiung
MF 8716,11:35,Quanzhou,Dep 11:39,1,HKG
UO 106,11:35,Taipei,Dep 11:36,1,HKG
HX 686,11:40,Kumamoto,Dep 11:46,1,HKG
CX 739,11:40,Singapore,Dep 11:49,1,HKG
CI 5826,11:40,Taipei,Dep 12:31,0,HKG
HO 1650,11:40,Nanjing,Dep 11:41,1,HKG
3U 3957,11:45,HKG,At gate 11:25,1,Chengdu Tianfu
CV 9522,11:45,"Dubai/DWC
Luxembourg",Dep 14:11,0,HKG
2C 610,11:45,HKG,At gate 11:34,0,Paris
QR 8404,11:45,HKG,At gate 18:32 (20/12/2023),0,Doha
TG 600,11:45,HKG,At gate 11:38,1,Bangkok
CA 101,11:45,HKG,At gate 11:28,1,Beijing/PEK
Z2 1265,11:45,Manila,Dep 14:30,1,HKG
UO 898,11:50,Osaka/Kansai,Dep 11:51,1,HKG
CV 9461,11:50,HKG,At gate 13:43,0,Luxembourg
ZH 9085,11:50,HKG,At gate 11:28,1,Nantong
MM 063,11:50,HKG,At gate 11:45,1,Osaka/Kansai
OZ 721,11:50,HKG,At gate 11:57,1,Seoul/ICN
MU 722,11:55,Shanghai/SHA,Dep 12:02,1,HKG
CX 036,11:55,Osaka/Kansai,Dep 12:31,0,HKG
HX 603,11:55,HKG,At gate 11:52,1,Osaka/Kansai
AK 139,12:00,Kuala Lumpur,Dep 12:01,1,HKG
CX 332,12:00,Beijing/PEK,Dep 12:03,1,HKG
CX 653,12:00,Bangkok,Dep 12:02,1,HKG
5Y 617,12:00,"Seoul/ICN
Anchorage
Huntsville
Miami",Dep 10:54 (20/12/2023),0,HKG
RW 661,12:05,Clark,Dep 12:07,1,HKG
HX 775,12:05,Bangkok,Dep 12:10,1,HKG
MU 5015,12:05,HKG,At gate 11:53,1,Beijing/PKX
CX 700,12:10,HKG,At gate 12:04,1,Bangkok
CX 619,12:10,Singapore,Dep 12:15,1,HKG
BR 867,12:10,HKG,At gate 12:12,1,Taipei
CX 952,12:15,Zhengzhou,Dep 12:11,1,HKG
CX 730,12:15,HKG,At gate 12:03,1,Kuala Lumpur
CA 103,12:15,HKG,At gate 12:21,1,Tianjin
CX 960,12:15,Hangzhou,Dep 13:30,1,HKG
AK 237,12:15,HKG,At gate 12:27,1,Kota Kinabalu
UO 112,12:15,Taipei,Dep 12:14,1,HKG
RH 963,12:20,HKG,At gate 18:15,0,Osaka/Kansai
9C 8715,12:20,HKG,At gate 12:01,1,Shanghai/PVG
MF 382,12:20,Xiamen,Dep 12:40,1,HKG
MF 8656,12:20,Hangzhou,Dep 12:46,1,HKG
MU 2686,12:20,Wuxi,Dep 12:21,1,HKG
PR 318,12:25,HKG,At gate 12:16,1,Manila
MU 5017,12:25,HKG,At gate 11:57,1,Shanghai/SHA
5X 052,12:25,HKG,At gate 12:15,0,"Louisville
Anchorage"
TW 116,12:25,Seoul/ICN,Dep 12:48,1,HKG
OM 298,12:25,Ulaan Baatar,Dep 12:32,1,HKG
CX 365,12:30,HKG,At gate 12:27,1,Shanghai/PVG
RH 6651,12:30,Dhaka,Dep 15:14,0,HKG
CX 157,12:30,Brisbane,Dep 12:31,1,HKG
SQ 875,12:30,Singapore,Dep 12:21,1,HKG
MU 502,12:30,Shanghai/PVG,Dep 12:21,1,HKG
CX 806,12:35,Chicago,Dep 12:39,1,HKG
UO 551,12:35,HKG,At gate 12:39,1,Hanoi
OZ 967,12:40,HKG,At gate 13:19,0,Seoul/ICN
MU 701,12:40,HKG,At gate 12:18,1,Shanghai/PVG
CZ 309,12:40,HKG,At gate 12:30,1,Beijing/PKX
CX 725,12:45,Kuala Lumpur,Dep 12:48,1,HKG
5Y 8050,12:45,"Anchorage
Miami",Dep 12:56,0,HKG
TG 601,12:45,Bangkok,Dep 12:50,1,HKG
3U 3958,12:45,Chengdu Tianfu,Dep 12:41,1,HKG
CI 909,12:50,HKG,At gate 12:54,1,Taipei
CX 489,12:50,HKG,At gate 14:10,1,Taipei
SC 1151,12:50,HKG,At gate 12:35,1,Jinan
CX 710,12:50,HKG,At gate 12:30,1,Singapore
MM 064,12:50,Osaka/Kansai,Dep 12:55,1,HKG
KE 172,12:50,Seoul/ICN,Dep 12:46,1,HKG
UO 684,12:55,Nagoya,Dep 12:56,1,HKG
MH 072,12:55,HKG,At gate 13:34,1,Kuala Lumpur
7C 2101,12:55,HKG,At gate 13:01,1,Seoul/ICN
HX 706,12:55,HKG,At gate 12:56,1,Denpasar
NH 859,12:55,HKG,At gate 12:45,1,Tokyo/HND
CX 431,12:55,HKG,At gate 12:54,1,Kaohsiung
UO 638,12:55,Fukuoka,Dep 13:10,1,HKG
UO 553,13:00,HKG,At gate 12:56,1,Da Nang
CX 346,13:00,Shanghai/SHA,Dep 13:15,1,HKG
CX 400,13:00,Taipei,Dep 12:56,1,HKG
HX 246,13:00,Shanghai/PVG,Dep 12:56,1,HKG
CA 102,13:00,Beijing/PEK,Dep 12:56,1,HKG
CX 567,13:00,HKG,At gate 12:52,1,Osaka/Kansai
UO 646,13:00,Tokyo/NRT,Dep 13:04,1,HKG
AK 236,13:05,Kota Kinabalu,Dep 13:26,1,HKG
CA 111,13:05,HKG,At gate 12:47,1,Beijing/PEK
RH 332,13:05,HKG,At gate 17:21,0,Bangkok
CX 3247,13:05,Dhaka,Dep 13:23,0,HKG
ZH 9086,13:10,Nantong,Dep 13:03,1,HKG
6E 1707,13:10,HKG,At gate 12:47,1,Delhi
GA 860,13:15,HKG,At gate 13:16,1,Jakarta
OZ 722,13:15,Seoul/ICN,Dep 13:08,1,HKG
CX 417,13:15,HKG,At gate 12:56,1,Seoul/ICN
MU 5018,13:15,Shanghai/SHA,Dep 13:27,1,HKG
CX 238,13:20,HKG,At gate 13:21,1,London/LHR
9C 8716,13:20,Shanghai/PVG,Dep 13:25,1,HKG
PR 319,13:25,Manila,Dep 13:31,1,HKG
CX 509,13:25,HKG,At gate 13:03,1,Tokyo/NRT
CX 503,13:25,HKG,At gate 13:27,1,Osaka/Kansai
CX 253,13:30,London/LHR,Dep 13:45,1,HKG
CX 906,13:30,HKG,At gate 13:18,1,Manila
CX 928,13:30,Chongqing,Dep 13:51,1,HKG
HX 607,13:30,HKG,At gate 13:28,1,Tokyo/NRT
