code,time_sch,dest,time_act,commercial,orig
UO 848,09:25,Tokyo/NRT,Dep 09:40,1,HKG
RH 371,09:30,Singapore,Dep 11:27,0,HKG
UO 552,09:30,Da Nang,Dep 09:42,1,HKG
FD 515,09:30,HKG,At gate 09:28,1,Chiang Mai
CX 830,09:30,New York/JFK,Dep 10:21,1,HKG
CX 624,09:35,HKG,At gate 09:24,1,Bengaluru
CX 660,09:35,HKG,At gate 09:53,1,Mumbai
MU 724,09:35,Shanghai/PVG,Dep 10:47,1,HKG
UO 642,09:40,Takamatsu,Dep 10:02,1,HKG
HX 308,09:40,Beijing/PKX,Dep 09:41,1,HKG
RH 9375,09:40,Chennai,Dep 16:54,0,HKG
5J 241,09:40,Cebu,Dep 10:01,1,HKG
5J 110,09:45,HKG,At gate 09:51,1,Manila
CX 368,09:45,Shanghai/PVG,Dep 09:55,1,HKG
CX 536,09:45,Nagoya,Dep 09:59,1,HKG
PO 8200,09:45,"Anchorage
Cincinnati",Dep 10:07,0,HKG
FD 508,09:50,HKG,At gate 09:34,1,Bangkok/DMK
CX 615,09:55,Bangkok,Dep 10:19,1,HKG
UO 680,09:55,Nagoya,Dep 10:23,1,HKG
CI 903,09:55,HKG,At gate 10:45,1,Taipei
QR 8434,09:55,HKG,At gate 09:59,0,Doha
UO 850,09:55,Osaka/Kansai,Dep 10:31,1,HKG
BR 892,10:00,Taipei,Dep 10:40,1,HKG
CX 450,10:00,"Taipei
Tokyo/NRT",Dep 10:57,1,HKG
5J 149,10:00,Clark,Dep 10:29,1,HKG
CX 3800,10:00,HKG,At gate 10:40,1,Toulouse
CX 785,10:00,Denpasar,Dep 10:28,1,HKG
CX 348,10:00,Shanghai/SHA,Dep 10:20,1,HKG
TR 978,10:05,HKG,At gate 09:39,1,Singapore
BR 851,10:05,HKG,At gate 10:33,1,Taipei
PO 790,10:05,"Los Angeles
Miami",Dep 09:49,0,HKG
CX 954,10:10,Qingdao,Dep 11:04,1,HKG
AK 8011,10:10,Kuala Lumpur,Dep 01:53 (23/12/2023),0,HKG
HX 231,10:15,HKG,At gate 10:10,1,Shanghai/PVG
AC 022,10:15,Vancouver,Dep 10:26,1,HKG
UO 616,10:15,Kumamoto,Dep 10:42,1,HKG
PR 300,10:15,HKG,At gate 10:02,1,Manila
CI 934,10:20,Kaohsiung,Dep 10:27,1,HKG
CI 602,10:20,Taipei,Dep 10:50,1,HKG
CX 986,10:20,Chengdu Tianfu,Dep 10:32,1,HKG
HX 497,10:20,HKG,At gate 10:22,1,Chongqing
JL 736,10:20,Tokyo/NRT,Dep 10:27,1,HKG
CX 723,10:25,Kuala Lumpur,Dep 11:04,1,HKG
CX 356,10:25,Nanjing,Dep 10:33,1,HKG
CX 584,10:25,Sapporo,Dep 10:39,1,HKG
CX 828,10:25,Toronto,Dep 10:46,1,HKG
CX 494,10:25,Taipei,Dep 11:19,1,HKG
MU 9623,10:25,HKG,At gate 09:47,1,Kunming
CX 407,10:25,HKG,At gate 10:21,1,Taipei
MU 765,10:30,HKG,At gate 10:36,1,Nanjing
F5 8839,10:30,Dammam,Dep 10:57,0,HKG
CX 912,10:30,HKG,At gate 10:19,1,Manila
CX 520,10:30,Tokyo/NRT,Dep 11:26,1,HKG
FD 516,10:30,Chiang Mai,Dep 10:34,1,HKG
CV 7955,10:30,"Ashgabat
Luxembourg",Dep 12:29,0,HKG
MF 8715,10:35,HKG,At gate 10:24,1,Quanzhou
HX 129,10:35,HKG,At gate 10:38,1,Hangzhou
HO 1649,10:40,HKG,At gate 10:49,1,Nanjing
CX 424,10:45,Kaohsiung,Dep 11:00,1,HKG
CX 506,10:45,Osaka/Kansai,Dep 11:08,1,HKG
FD 509,10:45,Bangkok/DMK,Dep 11:10,1,HKG
CX 738,10:45,HKG,At gate 10:26,1,Dubai
UO 172,10:50,Taichung,Dep 11:29,1,HKG
HX 221,10:50,HKG,At gate 11:02,1,Nanjing
MU 721,10:50,HKG,At gate 10:46,1,Shanghai/SHA
UO 870,10:50,Tokyo/NRT,Dep 10:58,1,HKG
UO 625,10:50,HKG,At gate 11:07,1,Tokyo/HND
Z2 1264,10:55,HKG,At gate 11:45,1,Manila
UA 862,11:00,San Francisco,Dep 10:56,1,HKG
5J 111,11:00,Manila,Dep 11:51,1,HKG
CX 917,11:00,HKG,At gate 10:30,1,Chengdu Tianfu
CX 163,11:00,Melbourne,Dep 11:03,1,HKG
UO 668,11:00,Fukuoka,Dep 11:02,1,HKG
CI 904,11:05,Taipei,Dep 11:52,1,HKG
CX 946,11:05,Xian,Dep 11:12,1,HKG
CV 5325,11:05,"Anchorage
Chicago
Luxembourg",Dep 11:05,0,HKG
TR 979,11:10,Singapore,Dep 11:20,1,HKG
CX 588,11:10,Fukuoka,Dep 11:39,1,HKG
HX 208,11:10,Nanjing,Dep 11:17,1,HKG
EK 9244,11:10,HKG,At gate 11:06,0,Dubai/DWC
5X 003,11:10,"Dubai
Cologne
Philadelphia",Dep 11:26,0,HKG
CX 345,11:15,HKG,At gate 11:06,1,Beijing/PEK
AK 138,11:15,HKG,At gate 11:04,1,Kuala Lumpur
BR 852,11:15,Taipei,Dep 11:30,1,HKG
MU 2685,11:20,HKG,At gate 11:17,1,Wuxi
KE 171,11:20,HKG,At gate 12:11,1,Seoul/ICN
MF 8655,11:20,HKG,At gate 11:31,1,Hangzhou
MF 381,11:20,HKG,At gate 11:15,1,Xiamen
SQ 874,11:20,HKG,At gate 11:19,1,Singapore
OM 297,11:25,HKG,At gate 11:13,1,Ulaan Baatar
MU 9624,11:25,Kunming,Dep 11:33,1,HKG
CX 983,11:25,HKG,At gate 11:50,1,Guangzhou
TW 115,11:25,HKG,At gate 12:00,1,Seoul/ICN
CX 361,11:25,HKG,At gate 11:37,1,Shanghai/PVG
HX 658,11:30,Okinawa,Dep 11:33,1,HKG
UO 227,11:30,HKG,At gate 11:17,1,Ningbo
MU 501,11:30,HKG,At gate 11:24,1,Shanghai/PVG
PR 301,11:30,Manila,Dep 11:30,1,HKG
MF 8716,11:35,Quanzhou,Dep 11:44,1,HKG
UO 131,11:35,HKG,At gate 11:32,1,Kaohsiung
MU 766,11:35,Nanjing,Dep 11:49,1,HKG
HX 618,11:35,Osaka/Kansai,Dep 11:47,1,HKG
UO 106,11:35,Taipei,Dep 11:50,1,HKG
CX 739,11:40,Singapore,Dep 11:52,1,HKG
HO 1650,11:40,Nanjing,Dep 11:55,1,HKG
2C 610,11:45,HKG,At gate 11:50,0,Paris
TG 600,11:45,HKG,At gate 11:42,1,Bangkok
Z2 1265,11:45,Manila,Dep 12:35,1,HKG
CA 101,11:45,HKG,At gate 11:23,1,Beijing/PEK
3U 3957,11:45,HKG,At gate 11:33,1,Chengdu Tianfu
ZH 9085,11:45,HKG,At gate 11:40,1,Nantong
UO 898,11:50,Osaka/Kansai,Dep 11:54,1,HKG
MM 063,11:50,HKG,At gate 12:09,1,Osaka/Kansai
VJ 872,11:50,HKG,At gate 11:27,1,Hanoi
OZ 721,11:50,HKG,At gate 12:22,1,Seoul/ICN
QR 8409,11:55,Doha,Dep 09:01 (23/12/2023),0,HKG
MU 722,11:55,Shanghai/SHA,Dep 12:13,1,HKG
KL 887,11:55,HKG,At gate 12:12,1,Amsterdam
HX 603,11:55,HKG,At gate 12:22,1,Osaka/Kansai
QR 8435,11:55,Doha,Dep 12:08,0,HKG
AK 139,12:00,Kuala Lumpur,Dep 11:54,1,HKG
CX 653,12:00,Bangkok,Dep 12:12,1,HKG
CX 332,12:00,Beijing/PEK,Dep 12:01,1,HKG
UO 193,12:00,HKG,At gate 11:50,1,Taichung
EY 9857,12:05,HKG,At gate 11:38,0,Abu Dhabi
MU 5015,12:05,HKG,At gate 11:58,1,Beijing/PKX
CA 411,12:05,HKG,At gate 11:41,1,Chengdu Tianfu
HX 775,12:05,Bangkok,Dep 12:17,1,HKG
CX 619,12:10,Singapore,Dep 12:15,1,HKG
CX 700,12:10,HKG,At gate 12:06,1,Bangkok
BR 867,12:10,HKG,At gate 12:34,1,Taipei
CA 103,12:15,HKG,At gate 12:05,1,Tianjin
CX 960,12:15,Hangzhou,Dep 12:48,1,HKG
CX 730,12:15,HKG,At gate 12:14,1,Kuala Lumpur
UO 112,12:15,Taipei,Dep 12:18,1,HKG
MU 2686,12:20,Wuxi,Dep 12:27,1,HKG
RH 963,12:20,HKG,At gate 20:44,0,Osaka/Kansai
9C 8715,12:20,HKG,At gate 12:20,1,Shanghai/PVG
MF 8656,12:20,Hangzhou,Dep 12:54,1,HKG
MF 382,12:20,Xiamen,Dep 12:42,1,HKG
CX 884,12:25,Los Angeles,Dep 12:33,1,HKG
OM 298,12:25,Ulaan Baatar,Dep 12:31,1,HKG
MU 5017,12:25,HKG,At gate 12:11,1,Shanghai/SHA
PR 318,12:25,HKG,At gate 12:32,1,Manila
TW 116,12:25,Seoul/ICN,Dep 13:12,1,HKG
3S 508,12:25,HKG,At gate 12:24,0,Leipzig
SQ 875,12:30,Singapore,Dep 12:35,1,HKG
CX 092,12:30,"Toronto
Anchorage
Chicago",Dep 12:39,0,HKG
CX 157,12:30,Brisbane,Dep 12:37,1,HKG
MU 502,12:30,Shanghai/PVG,Dep 12:45,1,HKG
CX 365,12:30,HKG,At gate 12:37,1,Shanghai/PVG
UO 551,12:35,HKG,At gate 12:22,1,Hanoi
CZ 309,12:40,HKG,At gate 12:42,1,Beijing/PKX
MU 701,12:40,HKG,At gate 12:32,1,Shanghai/PVG
ZH 9086,12:45,Nantong,Dep 13:00,1,HKG
UO 132,12:45,Kaohsiung,Dep 12:46,1,HKG
3U 3958,12:45,Chengdu Tianfu,Dep 12:50,1,HKG
CX 725,12:45,Kuala Lumpur,Dep 13:09,1,HKG
TG 601,12:45,Bangkok,Dep 12:55,1,HKG
CX 710,12:50,HKG,At gate 12:28,1,Singapore
CX 489,12:50,HKG,At gate 12:52,1,Taipei
SC 1151,12:50,HKG,At gate 12:33,1,Jinan
VJ 873,12:50,Hanoi,Dep 12:56,1,HKG
CI 909,12:50,HKG,At gate 13:27,1,Taipei
KE 172,12:50,Seoul/ICN,Dep 13:25,1,HKG
MM 064,12:50,Osaka/Kansai,Dep 13:10,1,HKG
CX 431,12:55,HKG,At gate 13:05,1,Kaohsiung
7C 2101,12:55,HKG,At gate 13:04,1,Seoul/ICN
MH 072,12:55,HKG,At gate 12:48,1,Kuala Lumpur
HX 706,12:55,HKG,At gate 12:48,1,Denpasar
NH 859,12:55,HKG,At gate 13:08,1,Tokyo/HND
UO 638,12:55,Fukuoka,Dep 13:07,1,HKG
CX 567,13:00,HKG,At gate 13:06,1,Osaka/Kansai
HX 246,13:00,Shanghai/PVG,Dep 13:13,1,HKG
CX 346,13:00,Shanghai/SHA,Dep 13:15,1,HKG
CA 102,13:00,Beijing/PEK,Dep 12:54,1,HKG
HX 668,13:00,Nagoya,Dep 13:27,1,HKG
UO 646,13:00,Tokyo/NRT,Dep 13:07,1,HKG
CX 400,13:00,Taipei,Dep 13:15,1,HKG
RH 332,13:05,HKG,At gate 04:15 (23/12/2023),0,Bangkok
CX 995,13:05,HKG,At gate 13:11,1,Fuzhou
CA 111,13:05,HKG,At gate 12:59,1,Beijing/PEK
HX 305,13:05,HKG,At gate 12:56,1,Beijing/PEK
EK 9245,13:10,Dubai/DWC,Dep 13:15,0,HKG
6E 1707,13:10,HKG,At gate 12:35,1,Delhi
5Y 612,13:10,"Anchorage
Miami",Dep 13:31,0,HKG
GA 860,13:15,HKG,At gate 13:26,1,Jakarta
MU 5018,13:15,Shanghai/SHA,Dep 13:24,1,HKG
CX 417,13:15,HKG,At gate 13:22,1,Seoul/ICN
OZ 722,13:15,Seoul/ICN,Dep 13:39,1,HKG
CX 238,13:20,HKG,At gate 14:30,1,London/LHR
9C 8716,13:20,Shanghai/PVG,Dep 13:27,1,HKG
